STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_BIR_005,Birthplace,CEN23_YNZ_001,Years since arrival in New Zealand,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,999999,Total - birthplace,07,10-19 years,99,Total - age,99,Total - gender,354315,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0702,Malaysia,01,Less than one year,99,Total - age,99,Total - gender,2118,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1103,Kenya,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,1962,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1005,Argentina,05,4 years,99,Total - age,99,Total - gender,459,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1104,Zambia,04,3 years,99,Total - age,99,Total - gender,30,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,777777,Total stated - birthplace,999,Total - years since arrival in New Zealand,99,Total - age,99,Total - gender,1426983,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B07,South-East Asia,07,10-19 years,99,Total - age,99,Total - gender,42243,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B04,North-West Europe,09,Not elsewhere included,99,Total - age,99,Total - gender,2256,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0509,Hungary,01,Less than one year,99,Total - age,99,Total - gender,138,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1104,Zambia,06,5-9 years,99,Total - age,99,Total - gender,96,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0708,Myanmar,03,2 years,99,Total - age,99,Total - gender,45,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B11,Sub-Saharan Africa,01,Less than one year,99,Total - age,99,Total - gender,8241,,,
DATAFLOW,STATSNZ:CEN23_ECI_005(1.0),"Birthplace, years since arrival in New Zealand, age, and gender for the overseas-born census usually resident population count, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0506,Ukraine,06,5-9 years,99,Total - age,99,Total - gender,489,,,
