STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_002,Area,CEN23_POM_008,Usual residence one year ago summary (RC),CEN23_ETH_002,Ethnicity,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,1,Same as usual residence,999,Total - ethnicity,2,15-29 years,99,Total - gender,627684,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,999,Total - usual residence one year ago summary (RC),999,Total - ethnicity,3,30-64 years,99,Total - gender,2260728,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - usual residence one year ago summary (RC),999,Total - ethnicity,Median,Median - age,99,Total - gender,38.2,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,27,Different Regional Council Area different island,999,Total - ethnicity,4,65 years and over,99,Total - gender,2610,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,5,No fixed abode one year ago,999,Total - ethnicity,1,Under 15 years,99,Total - gender,147,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - usual residence one year ago summary (RC),999,Total - ethnicity,3,30-64 years,99,Total - gender,2246625,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,2,Elsewhere in New Zealand,999,Total - ethnicity,1,Under 15 years,99,Total - gender,141561,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - usual residence one year ago summary (RC),999,Total - ethnicity,1,Under 15 years,99,Total - gender,929205,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,1,Same as usual residence,999,Total - ethnicity,3,30-64 years,99,Total - gender,1835547,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,1,Same as usual residence,999,Total - ethnicity,4,65 years and over,99,Total - gender,750387,,,
